,precision,recall,f1-score,support
-1,0.6246458923512748,0.6246458923512748,0.6246458923512748,706.0
0,0.673389355742297,0.7715019255455713,0.7191145677535148,1558.0
1,0.6231060606060606,0.4357615894039735,0.5128604832424006,755.0
accuracy,0.6531964226565088,0.6531964226565088,0.6531964226565088,0.6531964226565088
macro avg,0.6403804362332107,0.6106364691002731,0.6188736477823967,3019.0
weighted avg,0.6494155985439134,0.6531964226565088,0.6454422528678332,3019.0
