Date,lag_1,lag_2,lag_3,lag_4,lag_5,rolling_mean_5,rolling_std_5,Label
1990-01-19,0.002341459867258422,-0.00983127249747795,0.011127596439169052,-0.008619400285092893,-0.024675081438144675,-0.005931339582857608,0.013538920883516896,0
1990-01-22,0.0028386157134980827,0.002341459867258422,-0.00983127249747795,0.011127596439169052,-0.008619400285092893,-0.00042860015252905727,0.008766314301525097,-1
1990-01-23,-0.02585873263010774,0.0028386157134980827,0.002341459867258422,-0.00983127249747795,0.011127596439169052,-0.0038764666215320267,0.014383641583476985,0
1990-01-24,0.0037229264803306794,-0.02585873263010774,0.0028386157134980827,0.002341459867258422,-0.00983127249747795,-0.005357400613299701,0.012739894235775588,0
1990-01-25,-0.0040709738716290245,0.0037229264803306794,-0.02585873263010774,0.0028386157134980827,0.002341459867258422,-0.004205340888129916,0.012492225348480206,-1
1990-01-26,-0.012656764578690027,-0.0040709738716290245,0.0037229264803306794,-0.02585873263010774,0.0028386157134980827,-0.007204985777319606,0.012326793901794211,0
1990-01-29,-0.0008586812770701169,-0.012656764578690027,-0.0040709738716290245,0.0037229264803306794,-0.02585873263010774,-0.007944445175433246,0.011666908764594443,0
1990-01-30,-0.0018415457594146423,-0.0008586812770701169,-0.012656764578690027,-0.0040709738716290245,0.0037229264803306794,-0.0031410078012946265,0.0060296283824638865,-1
1990-01-31,-0.006826571763133282,-0.0018415457594146423,-0.0008586812770701169,-0.012656764578690027,-0.0040709738716290245,-0.005250907449987419,0.00473384302071317,1
1990-02-01,0.01888654213401364,-0.006826571763133282,-0.0018415457594146423,-0.0008586812770701169,-0.012656764578690027,-0.0006594042488588858,0.0118896152158092,0
1990-02-02,-0.000881177948146239,0.01888654213401364,-0.006826571763133282,-0.0018415457594146423,-0.0008586812770701169,0.0016957130772498718,0.009922593417438908,1
1990-02-05,0.006478313900835753,-0.000881177948146239,0.01888654213401364,-0.006826571763133282,-0.0018415457594146423,0.0031631121128310458,0.009992665822785574,0
1990-02-06,0.00281032466470732,0.006478313900835753,-0.000881177948146239,0.01888654213401364,-0.006826571763133282,0.004093486197655438,0.009619814965219268,-1
1990-02-07,-0.00659937441954761,0.00281032466470732,0.006478313900835753,-0.000881177948146239,0.01888654213401364,0.0041389256663725725,0.009555661128953698,1
1990-02-08,0.0124067108307222,-0.00659937441954761,0.00281032466470732,0.006478313900835753,-0.000881177948146239,0.002842959405714285,0.007206057794469965,0
1990-02-09,-0.002367066801264084,0.0124067108307222,-0.00659937441954761,0.00281032466470732,0.006478313900835753,0.0025457816350907157,0.007425339666627776,0
1990-02-12,0.0019822311360144784,-0.002367066801264084,0.0124067108307222,-0.00659937441954761,0.00281032466470732,0.001646565082126461,0.007094936640968725,-1
1990-02-13,-0.010610900415841118,0.0019822311360144784,-0.002367066801264084,0.0124067108307222,-0.00659937441954761,-0.0010376799339832266,0.008863094427071037,0
1990-02-14,0.002847801986323839,-0.010610900415841118,0.0019822311360144784,-0.002367066801264084,0.0124067108307222,0.0008517553471910633,0.008374551735559576,0
1990-02-15,0.0029908186357658906,0.002847801986323839,-0.010610900415841118,0.0019822311360144784,-0.002367066801264084,-0.0010314230918001988,0.005784878076653605,1
1990-02-16,0.008674451968618602,0.0029908186357658906,0.002847801986323839,-0.010610900415841118,0.0019822311360144784,0.0011768806621763384,0.00710451083234597,-1
1990-02-20,-0.006479779428516075,0.008674451968618602,0.0029908186357658906,0.002847801986323839,-0.010610900415841118,-0.0005155214507297723,0.007835033925700804,-1
1990-02-21,-0.014216190697807107,-0.006479779428516075,0.008674451968618602,0.0029908186357658906,0.002847801986323839,-0.0012365795071229702,0.009065636550081309,0
1990-02-22,-0.0009755688166336318,-0.014216190697807107,-0.006479779428516075,0.008674451968618602,0.0029908186357658906,-0.002001253667714464,0.008792118427458737,-1
1990-02-23,-0.006012149845800896,-0.0009755688166336318,-0.014216190697807107,-0.006479779428516075,0.008674451968618602,-0.0038018473640278215,0.008428540795150038,0
1990-02-26,-0.004759036697737695,-0.006012149845800896,-0.0009755688166336318,-0.014216190697807107,-0.006479779428516075,-0.006488545097299081,0.004830311650788786,1
1990-02-27,0.013944222169855802,-0.004759036697737695,-0.006012149845800896,-0.0009755688166336318,-0.014216190697807107,-0.0024037447776247057,0.010336798049610078,0
1990-02-28,0.004837667791193878,0.013944222169855802,-0.004759036697737695,-0.006012149845800896,-0.0009755688166336318,0.0014070269201754914,0.008180645579422899,0
1990-03-01,0.004935519998225724,0.004837667791193878,0.013944222169855802,-0.004759036697737695,-0.006012149845800896,0.0025892446831473626,0.008177364415658047,0
1990-03-02,0.0025610158438718056,0.004935519998225724,0.004837667791193878,0.013944222169855802,-0.004759036697737695,0.004303877821081903,0.006685696115254406,1
1990-03-05,0.008415033938585559,0.0025610158438718056,0.004935519998225724,0.004837667791193878,0.013944222169855802,0.0069386919483465535,0.004439822288194684,-1
1990-03-06,-0.005364541529198519,0.008415033938585559,0.0025610158438718056,0.004935519998225724,0.004837667791193878,0.0030769392085356895,0.005161746724809443,1
1990-03-07,0.012554690969049709,-0.005364541529198519,0.008415033938585559,0.0025610158438718056,0.004935519998225724,0.0046203438441068554,0.006734085701692329,0
1990-03-08,-0.0028999511436980097,0.012554690969049709,-0.005364541529198519,0.008415033938585559,0.0025610158438718056,0.0030532496157221088,0.007509464362443606,1
1990-03-09,0.00985302474065719,-0.0028999511436980097,0.012554690969049709,-0.005364541529198519,0.008415033938585559,0.004511651395079186,0.008076635886255778,-1
